"","id","nom_estab","raz_social","codigo_act","nombre_act","per_ocu","tipo_vial","nom_vial","tipo_v_e_1","nom_v_e_1","tipo_v_e_2","nom_v_e_2","tipo_v_e_3","nom_v_e_3","numero_ext","letra_ext","edificio","edificio_e","numero_int","letra_int","tipo_asent","nomb_asent","tipoCenCom","nom_CenCom","num_local","cod_postal","cve_ent","entidad","cve_mun","municipio","cve_loc","localidad","ageb","manzana","telefono","correoelec","www","tipoUniEco","latitud","longitud","fecha_alta","subrama"
"176",6433085,"CEREALES Y PASTAS, S.A. DE C.V.","CEREALES Y PASTAS SA DE CV",311230,"Elaboración de cereales para el desayuno","6 a 10 personas","AVENIDA","MÉXICO-JAPÓN","CALLE","SUR 2","CALLE","CAMINO A SAN MIGUEL OCTOPAN","CALLE","ORIENTE 3",425,"","",NA,0,"","CIUDAD","CIUDAD INDUSTRIAL","","","",38010,11,"GUANAJUATO",7,"Celaya",1,"Celaya","1544",49,NA,"DRAMIREZ@GOLDENFOODS.COM.MX","","Fijo",20.54974532,-100.79684589,"2010-07","31123"
"359",8144284,"ELABORACION DE CAJETA MONARCA","",311340,"Elaboración de dulces, chicles y productos de confitería que no sean de chocolate","0 a 5 personas","CALLE","DUQUE MARTIN III","CALLE","SAUCO","CALLE","TULE","AVENIDA","JUAN JOSÉ TORRES LANDA",4,"","",NA,NA,"","COLONIA","LOS PINOS","","","",38022,11,"GUANAJUATO",7,"Celaya",1,"Celaya","1578",39,NA,"","","Fijo",20.5397298,-100.84307123,"2019-11","31134"
"402",8471243,"ELABORACION DE GALLETAS SIN NOMBRE","",311820,"Elaboración de galletas y pastas para sopa","0 a 5 personas","CALLE","EJIDO LAS MICHINELAS","CALLE","EJIDO DE SANTA TERESA","CALLE","REFORMA AGRARIA","CALLE","EJIDO EL SAUZ",117,"","",NA,NA,"","COLONIA","EDIDAL","","","",38098,11,"GUANAJUATO",7,"Celaya",1,"Celaya","0546",5,NA,"","","Fijo",20.50372391,-100.83090763,"2019-11","31182"
"553",1250737,"ELABORACIÓN DE QUESO","",311513,"Elaboración de derivados y fermentos lácteos","0 a 5 personas","CALLE","IGNACIO ZARAGOZA","CALLE","PIPILA","CALLE","GENERAL IGNACIO ALLENDE","CALLE","GENERAL IGNACIO ALLENDE",280,"","",NA,0,"","LOCALIDAD","SAN MIGUEL OCTOPAN","","","",38130,11,"GUANAJUATO",7,"Celaya",165,"San Miguel Octopan","0387",9,4613281072,"","","Fijo",20.57812906,-100.74618895,"2014-12","31151"
"807",8080089,"ELABORACION DE TORTILLAS Y FRITURAS SIN NOMBRE","",311910,"Elaboración de botanas","0 a 5 personas","CALLE","INSURGENTES","CALLE","GUADALUPE VICTORIA","CALLE","IGNACIO ALLENDE","CALLE","SALVADOR DÍAZ MIRÓN",214,"","",NA,NA,"","COLONIA","CORTAZAR CENTRO","","","",38300,11,"GUANAJUATO",11,"Cortazar",1,"Cortazar","0055",25,NA,"","","Fijo",20.48516279,-100.9552923,"2019-11","31191"
"1041",7943860,"EXPENDIO DE PAN PANADERIA","",311812,"Panificación tradicional","0 a 5 personas","CALLE","JUANA VILLASEÑOR","BOULEVARD","ADOLFO LOPEZ MATEOS","CALLE","BRIGIDA ÁLVAREZ","CALLE","JUANA VILLASEÑOR",106,"","",NA,0,"","COLONIA","LAS INSURGENTES","","","",38080,11,"GUANAJUATO",7,"Celaya",1,"Celaya","1099",28,4611125587,"KKOKACHO70@LIFE.COM","","Fijo",20.51990973,-100.79724008,"2019-11","31181"
"1233",6261661,"HERDEZ SA DE CV","HERDEZ SA DE CV",311421,"Deshidratación de frutas y verduras","51 a 100 personas","CARRETERA","N","CARRETERA","","CARRETERA","","CARRETERA","MANZANA 800",NA,"SN","",NA,NA,"","COLONIA","LA FORTALEZA","","","",38260,11,"GUANAJUATO",11,"Cortazar",102,"Jorge López (El Pedregal)","0021",800,NA,"","","Fijo",20.46065722,-100.95412361,"2014-12","31142"
"1298",1349084,"LA TIA GUILLE EMPANADAS","",311812,"Panificación tradicional","11 a 30 personas","CALLE","CORREGIDORA","CALLE","EL CARMEN","CALLE","COLUNGA GUERRERO","AVENIDA","LICENCIADO BENITO JUÁREZ",NA,"SN","EDIFICIO SIN NOMBRE",1,NA,"","COLONIA","CENTRO","","","",38000,11,"GUANAJUATO",7,"Celaya",1,"Celaya","0156",5,4611590146,"","","Fijo",20.52274281,-100.81439243,"2010-07","31181"
"1748",6204978,"MOLONO DE CHILES Y HARINAS EL JALICIENSE","",311214,"Elaboración de harina de otros productos agrícolas","0 a 5 personas","CALLE","JOSE MARIA PINO SUAREZ","CALLE","LUIS VELASCO","CALLE","PLAZA ANTONIO PLAZA","CALLE","FRAY TORIBIO MOTOLINÍA",136,"A","",NA,NA,"","COLONIA","CENTRO","","","",38000,11,"GUANAJUATO",7,"Celaya",1,"Celaya","121A",5,NA,"","","Fijo",20.51600743,-100.80899345,"2010-07","31121"
"1830",1243954,"NIEVE","",311520,"Elaboración de helados y paletas","0 a 5 personas","CALLE","JOSE MARIA MORELOS","CALLE","LUIS CORTAZAR","CALLE","TENOCHTITLAN","BOULEVARD","ADOLFO LÓPEZ MATEOS",177,"","",NA,0,"","COLONIA","CELAYA CENTRO","","","",38000,11,"GUANAJUATO",7,"Celaya",1,"Celaya","0175",13,4611425973,"","","Fijo",20.52093984,-100.80850184,"2014-12","31152"
"3236",1277813,"PANADERIA SIN NOMBRE","",311812,"Panificación tradicional","0 a 5 personas","CALLE","EIFFEL","CALLE","HEROE DE NACOZARI","CALLE","NIÑO ARTILLERO","CALLE","IGNACIO LÓPEZ RAYÓN",309,"","",NA,NA,"","COLONIA","ZONA CENTRO","","","",38300,11,"GUANAJUATO",11,"Cortazar",1,"Cortazar","0040",21,NA,"","","Fijo",20.48746152,-100.96628358,"2010-07","31181"
"3408",1339579,"PANADERIA VÁZQUEZ","",311812,"Panificación tradicional","0 a 5 personas","CALLE","ADOLFO LOPEZ MATEOS","CALLE","NIÑOS HEROES","CALLE","CAMPO DEPORTIVO","CALLE","FRANCISCO MÁRQUEZ",NA,"SN","",NA,NA,"","MANZANA","TENERIA DEL SANTUARIO","","","",38120,11,"GUANAJUATO",7,"Celaya",185,"Tenería del Santuario","0936",26,4611619042,"","","Fijo",20.5996379,-100.79653442,"2010-07","31181"
"4206",8679142,"PASTELES DANNA","",311812,"Panificación tradicional","0 a 5 personas","AVENIDA","PLANTACION","AVENIDA","PASEO DE LOS OLIVOS","OTRO (ESPECIFIQUE)","NINGUNO","CALLE","TINOGASCA",111,"","",NA,NA,"","COLONIA","LOS OLIVOS","","","",38035,11,"GUANAJUATO",7,"Celaya",1,"Celaya","2701",59,NA,"","","Fijo",20.54526004,-100.77253879,"2019-11","31181"
"4310",8031255,"PREPARACION DE EMBUTIDOS Y OTRAS CONSERVAS DE CARNE DE GANADO AVES Y OTROS ANIMALES COMESTIBLES SIN NOMBRE","",311613,"Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles","0 a 5 personas","PRIVADA","TOMAS SCOTT","AVENIDA","EL MOLINITO","CALLE","NINGUNO","CALLE","NINGUNO",105,"","",NA,0,"","COLONIA","EL MOLINITO","","","",38322,11,"GUANAJUATO",11,"Cortazar",1,"Cortazar","0483",1,NA,"","","Fijo",20.4820832,-100.97574049,"2019-11","31161"
"4384",6468487,"PROTEINAS Y OLEICOSHIDROGENADORA YUCATECA, S.A. DE C.V.","PROTEINAS Y OLEICOSHIDROGENADORA YUCATECA SA DE CV",311222,"Elaboración de aceites y grasas vegetales comestibles","251 y más personas","","PANAMERICA CORREDOR INDUSTRIAL","ANDADOR","INDUSTRIAL","ANDADOR","SIN NOMBRE","ANDADOR","SN",0,"SN","",NA,0,"","AMPLIACION","ANDADOR INDUSTRIAL","OTRO CONGLOMERADO","ANDADOR INDUSTRIAL","",38160,11,"GUANAJUATO",5,"Apaseo el Grande",321,"Ninguno [Procesadora de Grasas]","0077",800,NA,"","","Fijo",20.53916176,-100.7356447,"2014-12","31122"
"4516",6332895,"RICAP SA DE CV","RICAP SA DE CV",311930,"Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas","101 a 250 personas","AVENIDA","EL VERGEL","CARRETERA","SIN NOMBRE","OTRO (ESPECIFIQUE)","SANTA BARBARA","OTRO (ESPECIFIQUE)","MANZANA 800",201,"","",NA,0,"","PARQUE INDUSTRIAL","EL VERGEL","","","",38110,11,"GUANAJUATO",7,"Celaya",745,"El Vergel [Parque Industrial]","0071",1,NA,"DLOPEZ@GRUPORICAP.COM","WWW.GRUPORICAP.COM","Fijo",20.52143649,-100.88434294,"2010-07","31193"
"4542",6330733,"SENSIENT FLAVORS MEXICO SA DE CV","SENSIENT FLAVORS MEXICO SA DE CV",311940,"Elaboración de condimentos y aderezos","101 a 250 personas","CALLE","CONCEPCIÓN BÉISTEGUI","CALLE","SEGUNDO ANILLO PONIENTE","CALLE","REAL DEL POTOSÍ","PRIVADA","PRIVADA DEL REAL",501,"","",NA,0,"","COLONIA","GIRASOLES","","","",38020,11,"GUANAJUATO",7,"Celaya",1,"Celaya","0724",2,NA,"YOVANA.ALVAREZ@SENSIENT.COM","","Fijo",20.51999728,-100.84810973,"2010-07","31194"
"4807",1346816,"TORTILLAS DE HARINA LAS PROVIDENCIAS","",311813,"Elaboración de tortillas de harina de trigo de forma tradicional","0 a 5 personas","CALLE","MARGARITA","CALLE","ROSA","CALLE","VIOLETA","CALLE","AGAPANDO",NA,"SN","",NA,NA,"","COLONIA","VALLE HERMOSO","","","",38010,11,"GUANAJUATO",7,"Celaya",1,"Celaya","1277",6,NA,"","","Fijo",20.53931323,-100.82360949,"2010-07","31181"
"5019",8041270,"TORTILLAS DE PRENSA SIN NOMBRE","",311830,"Elaboración de tortillas de maíz y molienda de nixtamal","0 a 5 personas","CALLE","OCALO","CALZADA","CALZADA DE LOS PINOS","CALLE","ANTIGUO CAMINO A LA GAVIA","CALLE","BALCONES DEL PEDREGAL",1029,"","",NA,NA,"","COLONIA","EL PERAL 1RA SECC","","","",38358,11,"GUANAJUATO",11,"Cortazar",1,"Cortazar","0290",34,NA,"","","Fijo",20.47178968,-100.9505113,"2019-11","31183"
"5131",7934280,"TORTILLAS HECHAS A MANO","",311830,"Elaboración de tortillas de maíz y molienda de nixtamal","0 a 5 personas","CALLE","GENERAL IGNACIO ALLENDE","CALLE","JOSEFA ORTIZ DE DOMINGUEZ","CALLE","INDEPENDENCIA","CALLE","BENITO JUÁREZ",129,"","",NA,NA,"","LOCALIDAD","SAN MIGUEL OCTOPAN","","","",38130,11,"GUANAJUATO",7,"Celaya",165,"San Miguel Octopan","0387",7,4611291676,"","","Fijo",20.57594337,-100.74860433,"2019-11","31183"
"5798",1244468,"TORTILLERIA DEL ZAPOTE","",311830,"Elaboración de tortillas de maíz y molienda de nixtamal","0 a 5 personas","CALLE","MARTIN ORTEGA","CALLE","FRANCISCO MASCAREÑO","CALLE","IGNACIO GUTIERREZ","CALLE","TEXCOCO",0,"SN","",NA,0,"","BARRIO","DEL ZAPOTE","","","",38050,11,"GUANAJUATO",7,"Celaya",1,"Celaya","0122",3,4616131240,"","","Fijo",20.52631517,-100.80133157,"2014-12","31183"
"6313",1252730,"TORTILLERÍA JARDINES","",311830,"Elaboración de tortillas de maíz y molienda de nixtamal","0 a 5 personas","CALLE","PASEO DE GUANAJUATO","CALLE","ROSAL","CALLE","MANZANOS","CALLE","TULIPÁN",608,"A","",NA,NA,"","COLONIA","JARDINES DE CELAYA 3RA SECC","","","",38080,11,"GUANAJUATO",7,"Celaya",1,"Celaya","0279",15,4612961174,"","","Fijo",20.51210831,-100.79938683,"2010-07","31183"
"6794",1353730,"TORTILLERÍA LA SAGRADA FAMILIA","",311830,"Elaboración de tortillas de maíz y molienda de nixtamal","0 a 5 personas","CALLE","JESUS NAVARRO","CALLE","PLAN DE AYALA","CALLE","EUGENIO MORALES","AVENIDA","IRRIGACIÓN",205,"","",NA,NA,"","COLONIA","EMILIANO ZAPATA","","","",38030,11,"GUANAJUATO",7,"Celaya",1,"Celaya","0438",15,4611174224,"","","Fijo",20.53837855,-100.80128333,"2010-07","31183"
"7085",1280074,"TORTILLERIA MI LUPITA","",311830,"Elaboración de tortillas de maíz y molienda de nixtamal","0 a 5 personas","CALLE","FRANCISCO FERNANDO HERRERA ROCHA","CALLE","MARTIRES DE RIO BLANCO","CALLE","VENUSTIANO CARRANZA","CALLE","MÁRTIRES DE RÍO BLANCO",1114,"","",NA,NA,"","COLONIA","CARRILLO PUERTO","","","",38350,11,"GUANAJUATO",11,"Cortazar",1,"Cortazar","0197",10,NA,"","","Fijo",20.47293525,-100.95835165,"2010-07","31183"
"7583",1339547,"TORTILLERIA SAN ROQUE","",311830,"Elaboración de tortillas de maíz y molienda de nixtamal","0 a 5 personas","CALLE","HIDALGO","CALLE","LAZARO CARDENAS","CALLE","BENITO JUAREZ","CALLE","IGNACIO ALLENDE",26,"A","",NA,NA,"","LOCALIDAD","ROQUE","","","",38110,11,"GUANAJUATO",7,"Celaya",146,"Roque","1328",12,NA,"","","Fijo",20.58103162,-100.83796866,"2010-07","31183"
"7762",1230838,"TORTILLERIA SIN NOMBRE","",311830,"Elaboración de tortillas de maíz y molienda de nixtamal","0 a 5 personas","CALLE","BENITO JUAREZ","CALLE","BENITO JUAREZ","CALLE","JIMENEZ","CALLE","DEL ARROYO",NA,"SN","",NA,NA,"","COLONIA","CAÑADA DE CARACHEO","","","",38490,11,"GUANAJUATO",11,"Cortazar",6,"Cañada de Caracheo","0248",25,NA,"","","Fijo",20.37726581,-100.94772668,"2014-12","31183"
"8706",6333373,"2221 CELAYA","IMPULSORA SAHUAYO SA DE CV",431110,"Comercio al por mayor de abarrotes","101 a 250 personas","CALLE","NORTE 3","CALLE","PONIENTE 4","VIADUCTO","NINGUNO","AVENIDA","NORTE 7",114,"","",NA,NA,"","COLONIA","CIUDAD INDUSTRIAL CELAYA","","","",38010,11,"GUANAJUATO",7,"Celaya",1,"Celaya","0940",27,NA,"","WWW.SAHUAYO.COM.MX","Fijo",20.55559068,-100.80828748,"2010-07","43111"
"8846",6261131,"ALIMENTOS FINOS DE OCCIDENTE CELAYA","ALIMENTOS FINOS DE OCCIDENTE SA DE CV",431170,"Comercio al por mayor de embutidos","101 a 250 personas","CALLE","PONIENTE 4","AVENIDA","3","AVENIDA","3","AVENIDA","0",0,"","",NA,0,"","CIUDAD INDUSTRIAL","DE CELAYA","","","",38010,11,"GUANAJUATO",7,"Celaya",1,"Celaya","0940",24,NA,"JEFERNAD@SIGMA-ALIMENTOS.COM","WWW.SIGMA-ALIMENTOS.COM","Fijo",20.55538165,-100.82009762,"2010-07","43117"
"9021",7942415,"COMERCIALIZADORA AGUILARES","AGUILARES SP DE RL",431193,"Comercio al por mayor de conservas alimenticias","0 a 5 personas","CALLE","FRANCISCO I. MADERO","CALLE","ÁLVARO OBREGON","CALZADA","INDEPENDENCIA","CALLE","ANDADOR GÓNGORA",101,"","EDIFICIO SIN NOMBRE",17,4,"","COLONIA","CELAYA CENTRO","EDIFICIO COMERCIAL Y DE SERVICIOS","EDIFICIO ARIES","4",38000,11,"GUANAJUATO",7,"Celaya",1,"Celaya","0175",7,NA,"","","Fijo",20.52302765,-100.81345372,"2019-11","43119"
"9108",6788905,"DISTRIBUIDORA DE BASICOS DEL CENTRO, S.A. DE C.V.","DISTRIBUIDORA DE BASICOS DEL CENTRO SA DE CV",431140,"Comercio al por mayor de huevo","0 a 5 personas","CALLE","PURÍSIMA","CALLE","PASEO DE CELAYA","CALLE","MIGUEL ALEMÁN","CALLE","GUADALUPE",104,"","",NA,NA,"","COLONIA","TRES GUERRAS","","","",38080,11,"GUANAJUATO",7,"Celaya",1,"Celaya","0283",27,NA,"CONTABILIDAD@PANOVO.MX","","Fijo",20.51685882,-100.79071512,"2017-03","43114"
"9314",8696222,"HACIENDA CORTAZAR S.P.R DE R.L","",431150,"Comercio al por mayor de semillas y granos alimenticios, especias y chiles secos","0 a 5 personas","CALLE","MARIANO ESCOBEDO","BOULEVARD","PASEO DE LA JUVENTUD","CALLE","IGNACIO LÓPEZ RAYÓN","OTRO (ESPECIFIQUE)","TORRE LATINO",417,"","",NA,0,"","FRACCIONAMIENTO","LAS TORRES","","","",38300,11,"GUANAJUATO",11,"Cortazar",1,"Cortazar","0055",20,NA,"HUFESA@HOTMAIL.COM","HACIENDACORTAZAR.COM","Fijo",20.48505384,-100.96821962,"2019-11","43115"
"9365",6329421,"LASTUR","LASTUR SA DE CV",431180,"Comercio al por mayor de dulces y materias primas para repostería","6 a 10 personas","CARRETERA","SAN MIGUEL DE ALLENDE","CARRETERA","NINGUNO","CARRETERA","NINGUNO","CALLE","MANZANA 800",0,"SN","",NA,0,"","RANCHERIA","SAN JORGE DE LA CONCEPCION","","","",38104,11,"GUANAJUATO",7,"Celaya",427,"Ninguno [Elaboradora de Lácteos]","0014",800,NA,"J.RAMIREZ@LASTUR.COM.MX","WWW.LASTUR.MX","Fijo",20.63414335,-100.78568268,"2014-12","43118"
"9479",1352488,"PRODUCTOS PARA EMBUTIDOS","",431121,"Comercio al por mayor de carnes rojas","6 a 10 personas","CERRADA","TERCERA DE 16 DE SEPTIEMBRE","CALLE","PRESIDENCIAL DE ALAMEDA","PRIVADA","NINGUNO","CALLE","IGNACIO VELASCO",104,"","",NA,NA,"","BARRIO","DEL ZAPOTE","","","",38050,11,"GUANAJUATO",7,"Celaya",1,"Celaya","0122",32,NA,"","","Fijo",20.52867003,-100.80237169,"2010-07","43112"
"9645",6331478,"UNIFOODS","UNIFOODS SA DE CV",431160,"Comercio al por mayor de leche y otros productos lácteos","101 a 250 personas","CARRETERA","SIN NOMBRE ","AVENIDA","VECINAL CRESPO","CALLE","ALHELIES","CALLE","FLOR DE PRIMAVERA",291,"","",NA,0,"","LOCALIDAD","CORTAZAR","","","",38382,11,"GUANAJUATO",11,"Cortazar",16,"Colonia la Fortaleza","0021",800,NA,"JECONTRERAS@UNIFOODS.COM.MX","WWW.BONAFINA.COM.MX","Fijo",20.5105719,-100.95935076,"2010-07","43116"
"9669",7932281,"VENTA DE JITOMATES","",431130,"Comercio al por mayor de frutas y verduras frescas","0 a 5 personas","CALLE","NINGUNO","AVENIDA","PASEO DEL SOL","CALLE","NINGUNO","CALLE","NINGUNO",NA,"SN","",NA,NA,"","COLONIA","LOS FRAILES","","","",38000,11,"GUANAJUATO",7,"Celaya",1,"Celaya","1525",57,NA,"","","Fijo",20.51083998,-100.80664727,"2019-11","43113"
"10108",7877087,"ABARROTES","",461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CALLE","PEÑA REAL","CALLE","PEÑON DE GIBRALTAR","CALZADA","CALZADA DE ALLENDE","CALLE","FRAY TORIBIO DE BENAVENTE",107,"","",NA,NA,"","COLONIA","LAS PEÑITAS","","","",38160,11,"GUANAJUATO",5,"Apaseo el Grande",1,"Apaseo el Grande","0397",7,NA,"","","Fijo",20.54920788,-100.67468043,"2019-11","46111"
"14660",7934257,"ABARROTES JUAREZ","",461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","CALLE","BENITO JUAREZ","CALLE","LUIS CORTAZAR","CALLE","5 DE MAYO","CALLE","TENOCHTITLAN",NA,"SN","",NA,NA,"","LOCALIDAD","SAN JUAN DE LA VEGA","","","",38100,11,"GUANAJUATO",7,"Celaya",161,"San Juan de la Vega","0368",1,NA,"","","Fijo",20.6213294,-100.76137057,"2019-11","46111"
"14677",7943542,"ABARROTES JULIO","",461110,"Comercio al por menor en tiendas de abarrotes, ultramarinos y misceláneas","0 a 5 personas","AVENIDA","MEXICO","CALLE","SALVADOR ORTEGA","PRIVADA","SAN JAVIER","AVENIDA","MÉXICO",1199,"L5","",NA,NA,"","COLONIA","LA MISION","","","",38040,11,"GUANAJUATO",7,"Celaya",1,"Celaya","2152",9,NA,"","","Fijo",20.54985207,-100.83354897,"2019-11","46111"
"15808",6203949,"ABARROTES LAS MORAS","",462112,"Comercio al por menor en minisupers","0 a 5 personas","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO","CALLE","NINGUNO",NA,"SN","",NA,NA,"","LOCALIDAD","EL CASTILLO","","","",38184,11,"GUANAJUATO",5,"Apaseo el Grande",8,"El Castillo","072A",21,NA,"","","Fijo",20.57853406,-100.49510223,"2010-07","46211"
"22360",9292889,"BASICOS DE CORTAZAR","BASICOS EN ALIMENTOS SA DE CV",462111,"Comercio al por menor en supermercados","0 a 5 personas","CALLE","FRANCISCO I. MADERO","CALLE","JOSE MARIA MORELOS","CALLE","ALDAMA","CALLE","FLORENCIO ANTILLÓN",103,"","",NA,NA,"","COLONIA","CENTRO","","","",38300,11,"GUANAJUATO",11,"Cortazar",1,"Cortazar","006A",9,NA,"","","Fijo",20.48397354,-100.96431842,"2020-11","46211"
"22432",6203161,"BODEGA AVALOS E HIJOS","",461130,"Comercio al por menor de frutas y verduras frescas","0 a 5 personas","CALLE","NINGUNO","CALLE","RAFAEL MARTINEZ","AVENIDA","CONSTITUYENTES","CALLE","NINGUNO",63,"","",NA,NA,"","COLONIA","EL VERGEL","","","",38070,11,"GUANAJUATO",7,"Celaya",1,"Celaya","121A",20,NA,"","","Fijo",20.5120358,-100.80717194,"2014-12","46113"
"22527",1352071,"BODEGA DE EXPPENDIO DE BARBACOA","",461121,"Comercio al por menor de carnes rojas","0 a 5 personas","CALLE","JOSE MARIA MORELOS","CALLE","PEDRO FIGUEROA","CALLE","NINGUNO","CALLE","LIBERTAD",NA,"SN","",NA,262,"","COLONIA","CENTRO","","","",38000,11,"GUANAJUATO",7,"Celaya",1,"Celaya","0175",4,NA,"","","Fijo",20.52117919,-100.81160035,"2010-07","46112"
"23080",7925784,"BOTANAS MARY","",461190,"Comercio al por menor de otros alimentos","0 a 5 personas","CALLE","MARIANO ABASOLO","CALLE","MIGUEL HIDALGO","CALLE","LICENCIADO BENITO JUAREZ","CALLE","REFORMA",106,"SN","",NA,NA,"","LOCALIDAD","TAMAYO","","","",38150,11,"GUANAJUATO",7,"Celaya",143,"Rincón de Tamayo","0349",1,4611764284,"","","Fijo",20.42386539,-100.75798617,"2019-11","46119"
"24762",1340277,"CARNICERIA KITOS","",461122,"Comercio al por menor de carne de aves","0 a 5 personas","CALLE","BENITO JUAREZ","CALLE","JOSEFA ORTIZ DE DOMINGUEZ","CALLE","INDEPENDENCIA","CALLE","GENERAL IGNACIO ALLENDE",100,"","",NA,NA,"","LOCALIDAD","SAN MIGUEL OCTOPAN","","","",38130,11,"GUANAJUATO",7,"Celaya",165,"San Miguel Octopan","0387",7,4131101787,"","","Fijo",20.57465778,-100.74862314,"2014-12","46112"
"25067",8065842,"CARNICERIA LA MEXICANA 2","",461121,"Comercio al por menor de carnes rojas","0 a 5 personas","CALLE","DISTRITO FEDERAL","CALLE","MEXICO","CALLE","JALISCO","CALLE","CAMPECHE",322,"","",NA,0,"","COLONIA","CHAPINGO","","","",38317,11,"GUANAJUATO",11,"Cortazar",1,"Cortazar","0144",8,NA,"","","Fijo",20.489593,-100.952377,"2019-11","46112"
"25542",1328270,"CARNICERIA MANE","",461121,"Comercio al por menor de carnes rojas","0 a 5 personas","CALLE","FRANCISCO LICEA","CALLE","ALBINO GARCIA","CALLE","FRANCISCO LICEA","CALLE","ALLENDE",108,"","",NA,0,"","COLONIA","CENTRO","","","",38160,11,"GUANAJUATO",5,"Apaseo el Grande",1,"Apaseo el Grande","0043",42,4131157701,"","","Fijo",20.54387032,-100.68260957,"2010-07","46112"
"25638",1329369,"CARNICERÍA MELESIO","",461121,"Comercio al por menor de carnes rojas","0 a 5 personas","CALLE","GUADALUPE VICTORIA","CALLE","BENITO JUAREZ","CALLE","JOSE MARIA MORELOS","CALLE","CORREGIDORA",20,"SN","",NA,0,"","LOCALIDAD","JUAN MARTIN","","","",38146,11,"GUANAJUATO",7,"Celaya",109,"Juan Martín","0616",10,NA,"","","Fijo",20.47144404,-100.74774476,"2010-07","46112"
"25673",1356185,"CARNICERIA MICHELL","",461121,"Comercio al por menor de carnes rojas","0 a 5 personas","AVENIDA","ARRAYANES","CALLE","GUAYABO","CALLE","PARAISO","CALLE","SIDRA",414,"","",NA,NA,"","COLONIA","DEL BOSQUE SECC 3","","","",38085,11,"GUANAJUATO",7,"Celaya",1,"Celaya","0654",24,4616086755,"","","Fijo",20.50399598,-100.79558087,"2010-07","46112"
"26051",1340292,"CARNICERIA RUFINO","",461121,"Comercio al por menor de carnes rojas","0 a 5 personas","CALLE","BENITO JUAREZ","CALLE","QUINTANA ROO","CALLE","NICOLAS BRAVO","CALLE","MADERO",300,"","",NA,0,"","LOCALIDAD","SAN MIGUEL OCTOPAN","","","",38130,11,"GUANAJUATO",7,"Celaya",165,"San Miguel Octopan","0387",3,4611786199,"","","Fijo",20.57434483,-100.7458193,"2010-07","46112"
"26180",7856904,"CARNICERIA SAN JUDAS TADEO","",461121,"Comercio al por menor de carnes rojas","0 a 5 personas","CALLE","FRANCISCO I. MADERO","CALLE","SOLEDAD","CALLE","IGNACIO ALLENDE","CALLE","FRANCISCO VILLA",3,"","",NA,NA,"","PUEBLO","SAN PEDRO TENENGO","","","",38190,11,"GUANAJUATO",5,"Apaseo el Grande",47,"San Pedro Tenango","0700",10,NA,"","","Fijo",20.50683063,-100.63352854,"2019-11","46112"
"28204",1340309,"DULCERIA ARCOIRIS","",461160,"Comercio al por menor de dulces y materias primas para repostería","0 a 5 personas","CALLE","MARIANO ABASOLO","CALLE","FRANCISCO I. MADERO","AVENIDA","16 DE SEPTIEMBRE","CALLE","QUINTANA ROO",413,"","",NA,NA,"","LOCALIDAD","SAN MIGUEL ACTOPAN","","","",38130,11,"GUANAJUATO",7,"Celaya",165,"San Miguel Octopan","0387",16,4612162446,"","","Fijo",20.57119083,-100.74709418,"2010-07","46116"
"28692",1278282,"DULCERIA ROSITA","",461190,"Comercio al por menor de otros alimentos","0 a 5 personas","CALLE","P. A. NAVA","CALLE","MELCHOR OCAMPO","CALLE","NINGUNO","CALLE","GUADALUPE VICTORIA",167,"Y 164","",NA,NA,"","COLONIA","CENTRO","","","",38300,11,"GUANAJUATO",11,"Cortazar",1,"Cortazar","0055",2,NA,"","","Fijo",20.48475595,-100.96202124,"2014-12","46119"
"30962",8079733,"FRUTAS Y VERDURAS PATIÑO","",461130,"Comercio al por menor de frutas y verduras frescas","0 a 5 personas","CALLE","MARIANO MATAMOROS","CALLE","JUAN DE DIOS PEZA","CALLE","SALVADOR DIAZ MIRON","CALLE","PRIVADA DEL RÍO",505,"","",NA,0,"","COLONIA","CORTAZAR CENTRO","","","",38300,11,"GUANAJUATO",11,"Cortazar",1,"Cortazar","0036",18,NA,"","","Fijo",20.48775336,-100.95724197,"2019-11","46113"
